abbr,group_id,bloc,group_name
FGA/AVF,1,left,Small left
PdA/PST,1,left,Small left
POCH,1,left,Small left
PSA,1,left,Small left
Sol.,1,left,Small left
SP/PS,2,left,
GPS/PES,3,left,
EVP/PEV,4,center,
GLP/PVL,5,center,
BDP/PBD,6,center,
CSP/PCS,7,center,others
LdU/AdI,7,center,others
Sep./Sép.,7,NA,others
Übrige/Autres,7,NA,others
CVP/PDC,8,center,
FDP/PLR (PRD),9,right,
LPS/PLS,9,right,
Lega,10,right,
SVP/UDC,11,right,
EDU/UDF,12,right,Small right
FPS/PSL,12,right,Small right
MCR,12,right,Small right
Rep./Rép.,12,right,Small right
SD/DS,12,right,Small right
